epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,26089.2,0.63985,0.49407,0.96593,0.90965,0.86665,0.92672,0.7569,0.695,0.44423,1.03918,0.001585,0.001585,0.001585
87,26390,0.63639,0.48869,0.96468,0.91017,0.86853,0.92745,0.75679,0.69467,0.44332,1.03851,0.001486,0.001486,0.001486
88,26691,0.63411,0.48525,0.96425,0.90889,0.87049,0.92812,0.75891,0.69407,0.44156,1.03763,0.001387,0.001387,0.001387
89,26991.9,0.63214,0.4813,0.96429,0.90938,0.8706,0.9288,0.75851,0.69334,0.44002,1.0369,0.001288,0.001288,0.001288
90,27293.1,0.62795,0.47785,0.96168,0.90879,0.87463,0.92975,0.75835,0.69255,0.43858,1.03621,0.001189,0.001189,0.001189
91,27596,0.60595,0.38746,0.94926,0.90855,0.87616,0.93065,0.75935,0.69162,0.43688,1.03544,0.00109,0.00109,0.00109
92,27885.3,0.59458,0.37411,0.94399,0.91077,0.87513,0.93164,0.75947,0.69039,0.43492,1.0344,0.000991,0.000991,0.000991
93,28174.7,0.58867,0.36858,0.94206,0.91153,0.87429,0.93237,0.76045,0.68948,0.43337,1.03345,0.000892,0.000892,0.000892
94,28463.6,0.58499,0.36246,0.93992,0.91261,0.87497,0.93395,0.76223,0.68852,0.4316,1.03243,0.000793,0.000793,0.000793
95,28752.3,0.57958,0.3575,0.93644,0.91498,0.87411,0.93416,0.76269,0.68758,0.42925,1.03158,0.000694,0.000694,0.000694
96,29041.9,0.57614,0.35244,0.93479,0.9136,0.87505,0.93517,0.76453,0.68625,0.42756,1.03077,0.000595,0.000595,0.000595
97,29330.8,0.57064,0.34844,0.9322,0.91388,0.87706,0.93647,0.76491,0.68536,0.42564,1.03018,0.000496,0.000496,0.000496
98,29619.4,0.56811,0.34552,0.93223,0.91355,0.8776,0.93673,0.76701,0.6843,0.42339,1.02957,0.000397,0.000397,0.000397
99,29908.2,inf,0.34159,0.93036,0.91258,0.87916,0.9363,0.76666,0.68397,0.42183,1.02924,0.000298,0.000298,0.000298
100,30197.4,0.56012,0.33836,0.92798,0.91053,0.88019,0.93687,0.76706,0.68287,0.42042,1.02842,0.000199,0.000199,0.000199
